"Miara","T","R","Y"
"średnia",0.537037037037037,0.631578947368421,0.637931034482759
"odchylenie std.",0.503308411506247,0.486664263392288,0.484796063546818
"mediana",1,1,1
"1. kwartyl",0,0,0
"3. kwartyl",1,1,1
"minimum",0,0,0
"maksimum",1,1,1
