"Miara","T","R","Y"
"średnia",1.61111111111111,1.56140350877193,1.67241379310345
"odchylenie std.",0.563569040041308,0.535108262065095,0.473432076473999
"mediana",2,2,2
"1. kwartyl",1,1,1
"3. kwartyl",2,2,2
"minimum",1,1,1
"maksimum",3,3,2
