"Miara","T","R","Y"
"średnia",9.12962962962963,9.01754385964912,8.70689655172414
"odchylenie std.",0.825222583954041,0.812650602969238,0.878767491945498
"mediana",9,9,9
"1. kwartyl",9,8,8
"3. kwartyl",10,10,9
"minimum",7,8,7
"maksimum",10,10,10
