"Miara","T","R","Y"
"średnia",26.5740740740741,29.0701754385965,26.2413793103448
"odchylenie std.",8.72558989053495,11.1609325793188,7.05196338176894
"mediana",23,24,23.5
"1. kwartyl",21.25,23,22
"3. kwartyl",28.5,32,28
"minimum",18,19,19
"maksimum",56,65,52
